,name,pop2000,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,age_under_5_2010,age_under_5_2017,age_under_18_2010,age_over_65_2010,age_over_65_2017,median_age_2017,female_2010,white_2010,black_2010,black_2017,native_2010,native_2017,asian_2010,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2010,two_plus_races_2017,hispanic_2010,hispanic_2017,white_not_hispanic_2010,white_not_hispanic_2017,speak_english_only_2017,no_move_in_one_plus_year_2010,foreign_born_2010,foreign_spoken_at_home_2010,women_16_to_50_birth_rate_2017,hs_grad_2010,hs_grad_2016,hs_grad_2017,some_college_2016,some_college_2017,bachelors_2010,bachelors_2016,bachelors_2017,veterans_2010,veterans_2017,mean_work_travel_2010,mean_work_travel_2017,broadband_2017,computer_2017,housing_units_2010,homeownership_2010,housing_multi_unit_2010,median_val_owner_occupied_2010,households_2010,households_2017,persons_per_household_2010,persons_per_household_2017,per_capita_income_2010,per_capita_income_2017,median_household_income_2010,median_household_income_2016,median_household_income_2017,private_nonfarm_establishments_2009,private_nonfarm_employment_2009,percent_change_private_nonfarm_employment_2009,nonemployment_establishments_2009,sales_2007,sales_per_capita_2007,building_permits_2010,fed_spending_2009,area_2010,density_2010,poverty_2010,poverty_2016,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,civilian_labor_force_2007,employed_2007,unemployed_2007,unemployment_rate_2007,civilian_labor_force_2008,employed_2008,unemployed_2008,unemployment_rate_2008,civilian_labor_force_2009,employed_2009,unemployed_2009,unemployment_rate_2009,civilian_labor_force_2010,employed_2010,unemployed_2010,unemployment_rate_2010,civilian_labor_force_2011,employed_2011,unemployed_2011,unemployment_rate_2011,civilian_labor_force_2012,employed_2012,unemployed_2012,unemployment_rate_2012,civilian_labor_force_2013,employed_2013,unemployed_2013,unemployment_rate_2013,civilian_labor_force_2014,employed_2014,unemployed_2014,unemployment_rate_2014,civilian_labor_force_2015,employed_2015,unemployed_2015,unemployment_rate_2015,civilian_labor_force_2016,employed_2016,unemployed_2016,unemployment_rate_2016,uninsured_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,age_over_18_2019,age_over_65_2019,age_over_85_2019,age_under_5_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_asian_or_pac_isl_2019,households_speak_limited_english_2019,households_speak_other_2019,households_speak_other_indo_euro_lang_2019,households_speak_spanish_2019,housing_mobile_homes_2019,housing_one_unit_structures_2019,housing_two_unit_structures_2019,hs_grad_2019,mean_household_income_2019,median_age_2019,median_household_income_2019,median_individual_income_2019,median_individual_income_age_25plus_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,persons_per_household_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,uninsured_65_and_older_2019,uninsured_under_19_2019,uninsured_under_6_2019,veterans_2019,white_2019,white_not_hispanic_2019,metro_2013_1.0,metro_2013_Unknown,smoking_ban_2010_comprehensive,smoking_ban_2010_none,smoking_ban_2010_partial,state
95,Yukon-Koyukuk Census Area,6551.0,5588,5631.0,5624.0,5561.0,5463.0,5463.0,5412.0,5365.0,7.9,7.9,27.8,10.2,12.6,34.7,45.8,22.2,0.2,0.05,71.4,35.48,0.3,0.37,0.0,0.06,5.6,2.77,1.2,2.15,21.8,21.35,84.7,82.7,0.9,19.1,6.5,79.5,82.89999999999998,84.7,30.7,30.6,11.5,12.3,12.4,466,8.4,7.7,8.4,43.7,65.1,4038,69.1,2.9,99500,2127,1959.0,2.61,2.66,18614,19447.74,33712,37906.0,37819.0,113,377,-34.1,351.0,41553.0,7151.0,0,157083.0,145504.79,0.0,23.6,23.0,25.5,43.1,32.3,2763.0,2382.0,381.0,13.79,2786.0,2393.0,393.0,14.11,2876.0,2471.0,405.0,14.08,2567.0,2125.0,442.0,17.22,2706.0,2208.0,498.0,18.4,2773.0,2291.0,482.0,17.38,2736.0,2234.0,502.0,18.35,2588.0,2097.0,491.0,18.97,2415.0,1971.0,444.0,18.39,2430.0,1993.0,437.0,17.98,32.3,16.7,4.7,2486.0,2032.0,454.0,18.26,72.3,14.3,1.2,7.4,0.7,3.55,13.6,0.1,2.7,42.9,43.2,55.5,1856,1.0,2.0,20.6,1.1,0.4,27.6,0.9,72.4,86.0,53438,35.2,41413,19238,25747,69.4,0.1,0.0,22718,2.69,5377,6.9,17.1,27.1,3.3,14.6,9.6,9.7,22.7,21.6,0,0,0,1,0,Alaska
96,Apache County,69423.0,71518,72179.0,72215.0,72292.0,71762.0,70979.0,71373.0,71606.0,8.3,7.2,31.7,11.6,13.8,34.2,50.1,23.3,0.2,0.25,72.9,36.65,0.3,0.17,0.04,0.35,2.0,1.13,5.8,6.11,20.4,18.45,45.4,90.6,1.6,61.5,6.3,72.1,78.3,78.6,33.7,34.1,10.3,11.1,11.5,4701,5.6,26.4,26.7,38.6,54.8,32514,76.3,5.2,80900,18859,19530.0,3.61,3.59,12294,12119.78,30184,34040.0,32360.0,482,7526,15.5,2841.0,276872.0,3997.0,48,1573639.0,11197.52,6.4,34.4,33.2,35.9,50.0,45.1,20200.0,18427.0,1773.0,8.78,21264.0,18792.0,2472.0,11.63,22938.0,19319.0,3619.0,15.78,23438.0,19589.0,3849.0,16.42,23040.0,18788.0,4252.0,18.45,22806.0,18482.0,4324.0,18.96,21829.0,17813.0,4016.0,18.4,21129.0,17823.0,3306.0,15.65,20518.0,17796.0,2722.0,13.27,20223.0,17907.0,2316.0,11.45,22.9,20.0,3.8,20419.0,18292.0,2127.0,10.42,72.7,15.0,1.3,6.7,0.3,4.42,12.3,0.5,6.3,37.9,43.5,45.3,20867,0.6,17.9,63.7,0.3,4.4,21.1,24.3,78.9,80.4,44477,35.0,32508,20596,34652,73.8,0.8,0.0,15128,3.37,71511,1.7,10.6,25.1,4.5,24.3,23.2,5.9,22.8,18.2,0,0,1,0,0,Arizona
97,Cochise County,117755.0,131346,132952.0,131826.0,129332.0,127054.0,126084.0,125355.0,124756.0,6.5,6.1,23.0,17.3,20.4,40.5,49.0,78.5,4.2,1.89,1.2,0.61,1.9,0.91,0.2,1.91,4.0,2.27,32.4,35.0,58.5,55.65,70.5,79.7,12.3,27.0,6.8,84.8,86.60000000000002,87.1,40.2,40.5,21.4,23.2,23.6,19851,18.7,19.5,20.5,76.2,85.4,59041,69.0,12.2,154900,48935,49160.0,2.51,2.36,23010,26016.1,44876,45151.0,47847.0,2373,28407,25.2,6285.0,1313671.0,10284.0,347,2487123.0,6165.69,21.3,15.7,21.1,18.1,28.7,25.7,57271.0,54934.0,2337.0,4.08,60278.0,56745.0,3533.0,5.86,63049.0,58022.0,5027.0,7.97,57023.0,51694.0,5329.0,9.35,55917.0,50589.0,5328.0,9.53,53898.0,49027.0,4871.0,9.04,51308.0,46587.0,4721.0,9.2,50772.0,46508.0,4264.0,8.4,50087.0,46447.0,3640.0,7.27,49369.0,46297.0,3072.0,6.22,9.0,6.4,0.4,49373.0,46602.0,2771.0,5.61,78.2,21.7,2.2,5.9,1.9,2.91,23.1,4.1,35.5,79.9,77.3,74.0,50163,2.3,4.0,0.4,2.1,24.6,31.1,20.3,68.9,87.4,64446,41.1,49260,25573,31202,1.2,2.8,0.4,26819,2.34,125867,4.1,5.9,7.8,0.3,5.1,3.3,19.2,85.5,55.0,1,0,1,0,0,Arizona
98,Coconino County,116320.0,134421,134181.0,136002.0,136448.0,137209.0,138682.0,140079.0,140776.0,6.7,5.8,23.6,8.9,11.1,30.6,50.4,61.7,1.2,0.72,27.3,13.29,1.4,0.93,0.07,1.41,3.1,1.79,13.5,13.9,55.2,54.29,76.1,79.6,5.7,25.2,4.0,87.0,88.9,89.7,33.1,33.0,31.1,34.2,35.4,8457,6.6,18.0,18.4,75.3,87.5,63321,61.2,18.9,257700,45478,47588.0,2.73,2.65,22632,27266.04,49510,53643.0,53523.0,3634,44916,15.4,8257.0,1691664.0,13273.0,315,1230202.0,18618.89,7.2,18.6,17.8,21.0,26.1,22.9,70736.0,68093.0,2643.0,3.74,73208.0,69108.0,4100.0,5.6,74805.0,68429.0,6376.0,8.52,72846.0,65650.0,7196.0,9.88,71682.0,64846.0,6836.0,9.54,71032.0,64922.0,6110.0,8.6,70877.0,65110.0,5767.0,8.14,71960.0,66866.0,5094.0,7.08,72942.0,68209.0,4733.0,6.49,73841.0,69405.0,4436.0,6.01,13.7,10.3,1.4,75381.0,71195.0,4186.0,5.55,79.3,12.0,1.0,5.5,2.0,3.33,36.2,1.2,14.1,78.2,78.7,81.0,47447,1.6,2.9,16.9,2.5,7.8,39.0,13.7,61.0,90.5,77638,30.7,59460,25094,36895,26.5,2.5,0.2,27339,2.67,141274,3.6,5.9,11.2,0.8,8.3,7.8,6.6,63.9,54.1,1,0,0,1,0,Arizona
99,Gila County,51335.0,53597,53422.0,52973.0,52982.0,53008.0,52935.0,53297.0,53501.0,5.7,5.7,21.4,23.2,27.0,49.3,50.3,76.8,0.4,0.28,14.8,7.92,0.5,0.44,0.0,1.15,2.0,1.44,17.9,18.65,65.9,62.77,83.8,87.3,3.1,16.9,7.2,83.4,84.3,85.0,37.9,38.5,15.0,17.7,19.0,5942,13.0,18.9,18.7,61.6,79.1,32698,78.3,4.8,156100,19704,21585.0,2.65,2.42,19600,22383.06,37580,40747.0,41179.0,1086,11724,-9.5,3565.0,550763.0,10545.0,73,618574.0,4757.93,11.3,18.9,20.3,21.9,42.3,35.7,21166.0,20256.0,910.0,4.3,22326.0,20882.0,1444.0,6.47,23275.0,20629.0,2646.0,11.37,21623.0,18914.0,2709.0,12.53,21171.0,18725.0,2446.0,11.55,20923.0,18786.0,2137.0,10.21,20901.0,18890.0,2011.0,9.62,21332.0,19562.0,1770.0,8.3,21110.0,19447.0,1663.0,7.88,20899.0,19390.0,1509.0,7.22,12.4,12.2,0.6,21362.0,20067.0,1295.0,6.06,80.0,28.4,2.9,5.5,0.8,2.95,18.7,0.7,18.7,66.2,65.9,68.3,21945,0.7,2.1,7.4,2.3,11.8,24.4,23.2,75.6,86.3,58074,50.2,43524,24681,30816,16.3,2.2,0.0,24251,2.4,53546,3.0,9.1,10.0,0.3,10.7,8.1,12.9,76.9,62.3,0,0,1,0,0,Arizona
100,Graham County,33489.0,37220,37124.0,37009.0,37419.0,38064.0,37786.0,37767.0,37466.0,8.6,7.5,28.4,11.4,12.9,33.1,46.3,72.1,1.8,0.99,14.4,6.6,0.5,0.37,0.08,1.16,2.8,1.3,30.4,32.53,52.3,51.17,78.7,84.4,5.0,22.3,8.4,81.8,85.39999999999998,85.8,39.2,40.4,13.4,13.3,14.1,2904,7.9,19.6,20.9,69.8,83.9,12980,72.0,7.7,119500,10822,10976.0,2.99,3.04,15644,18615.46,41683,46714.0,48173.0,531,10078,104.0,1330.0,389416.0,11211.0,80,285323.0,4622.6,8.1,20.0,22.9,21.4,31.5,28.3,14294.0,13680.0,614.0,4.3,16139.0,14997.0,1142.0,7.08,15246.0,12952.0,2294.0,15.05,14570.0,12687.0,1883.0,12.92,14345.0,12916.0,1429.0,9.96,14472.0,13242.0,1230.0,8.5,14276.0,13173.0,1103.0,7.73,14387.0,13320.0,1067.0,7.42,14447.0,13388.0,1059.0,7.33,14306.0,13344.0,962.0,6.72,8.8,6.2,1.5,14423.0,13638.0,785.0,5.44,72.9,13.7,1.7,7.3,0.6,3.7,15.2,2.0,33.0,75.9,68.1,77.7,11017,0.2,2.1,7.3,1.1,20.4,29.7,22.5,70.3,85.3,60143,33.6,51353,24123,31448,12.6,1.8,0.1,18683,3.1,37996,2.9,8.2,6.9,0.7,4.5,4.6,7.0,79.9,50.9,0,0,0,1,0,Arizona
101,Greenlee County,8547.0,8437,8569.0,8744.0,8892.0,9319.0,9549.0,9623.0,9455.0,7.8,7.4,29.2,12.0,11.8,33.4,47.9,77.2,1.1,1.02,2.3,2.02,0.5,0.18,0.0,1.04,3.8,0.2,47.9,46.41,48.1,47.58,77.1,82.8,4.4,23.6,10.2,89.8,87.89999999999998,89.7,38.9,40.6,13.4,12.2,12.1,829,10.6,14.8,17.8,75.7,88.2,4372,46.9,6.1,65800,3327,3364.0,2.5,2.76,21281,25331.52,48696,61110.0,56298.0,79,545,-83.2,234.0,35595.0,4587.0,4,59359.0,1843.13,4.6,13.5,12.0,11.5,23.2,15.7,3998.0,3868.0,130.0,3.25,4408.0,4174.0,234.0,5.31,4396.0,3564.0,832.0,18.93,3439.0,2875.0,564.0,16.4,3352.0,2982.0,370.0,11.04,3553.0,3261.0,292.0,8.22,4580.0,4311.0,269.0,5.87,4702.0,4397.0,305.0,6.49,4027.0,3709.0,318.0,7.9,3882.0,3588.0,294.0,7.57,7.6,7.5,0.0,3992.0,3788.0,204.0,5.11,72.4,12.4,0.8,7.9,0.5,3.47,13.5,2.2,46.8,82.2,64.8,83.3,3132,1.3,2.6,3.4,0.0,28.6,51.4,30.2,48.6,88.1,74470,34.5,63473,31420,46976,3.9,1.3,0.0,25780,3.01,9522,0.5,4.0,4.6,0.0,2.5,3.8,9.3,91.5,46.6,0,0,1,0,0,Arizona
102,La Paz County,19715.0,20489,20582.0,20492.0,20479.0,20442.0,20342.0,20523.0,20601.0,5.0,4.6,18.0,32.6,37.3,56.0,48.5,69.8,0.6,0.43,12.8,6.37,0.5,0.4,0.11,3.48,3.7,1.54,23.5,26.29,62.7,58.73,81.1,84.5,12.2,17.7,5.4,76.9,75.10000000000002,77.2,28.3,29.1,9.0,10.4,11.2,3321,14.8,14.6,12.9,57.7,73.7,16049,75.4,3.6,100000,10158,8798.0,1.98,2.3,21165,20799.13,32147,34285.0,36479.0,357,3438,-12.6,789.0,394370.0,19588.0,16,172345.0,4499.63,4.6,20.3,24.8,19.7,44.8,37.9,7655.0,7262.0,393.0,5.13,7551.0,6968.0,583.0,7.72,7702.0,6941.0,761.0,9.88,7868.0,7063.0,805.0,10.23,7827.0,7057.0,770.0,9.84,8137.0,7441.0,696.0,8.55,8028.0,7372.0,656.0,8.17,7924.0,7324.0,600.0,7.57,8135.0,7530.0,605.0,7.44,8430.0,7922.0,508.0,6.03,12.3,14.3,0.0,8681.0,8214.0,467.0,5.38,83.7,38.6,2.8,4.6,0.7,2.67,12.0,1.0,27.6,61.8,61.8,67.5,9346,0.9,3.5,1.0,0.6,14.4,28.5,59.4,71.5,76.9,48900,56.5,34643,20561,25852,15.0,3.4,0.0,22879,2.2,20793,2.8,9.3,14.7,4.1,19.6,14.4,14.5,77.1,57.4,0,0,1,0,0,Arizona
103,Maricopa County,3072149.0,3817117,3869626.0,3939776.0,4006307.0,4076708.0,4154076.0,4233383.0,4307033.0,7.4,6.7,26.4,12.1,14.1,36.0,50.5,73.0,5.0,2.68,2.1,0.95,3.5,1.97,0.11,3.56,3.5,1.73,29.6,30.6,58.7,56.31,73.4,79.4,15.9,26.5,5.4,85.6,86.9,87.1,33.0,32.9,29.0,31.0,31.4,282952,8.1,25.7,25.8,81.7,89.8,1639279,66.3,25.1,238600,1382002,1489533.0,2.68,2.75,27816,29379.27,55054,58742.0,58580.0,85789,1451978,7.2,242532.0,58688328.0,15153.0,6703,32502698.0,9200.14,414.9,13.9,15.0,15.7,24.6,22.2,1945290.0,1881907.0,63383.0,3.26,1970741.0,1864614.0,106127.0,5.39,1966607.0,1787374.0,179233.0,9.11,1919590.0,1736764.0,182826.0,9.52,1894633.0,1732510.0,162123.0,8.56,1895634.0,1757601.0,138033.0,7.28,1907171.0,1781737.0,125434.0,6.58,1954459.0,1841230.0,113229.0,5.79,2013552.0,1910598.0,102954.0,5.11,2071011.0,1976440.0,94571.0,4.57,12.3,9.0,0.7,2134987.0,2045885.0,89102.0,4.17,75.8,14.8,1.7,6.4,4.2,3.37,32.7,5.6,31.0,86.3,82.3,84.3,1552096,3.0,3.9,1.6,3.4,18.8,37.8,4.5,62.2,87.7,89019,36.4,64468,32158,41080,2.0,6.7,0.2,33279,2.75,4328810,3.7,4.5,10.6,1.0,8.2,6.6,7.7,77.6,55.2,1,0,0,0,1,Arizona
104,Mohave County,155032.0,200186,202733.0,203262.0,203026.0,203320.0,204524.0,205385.0,207200.0,5.5,4.5,20.6,23.3,28.0,50.4,50.0,86.9,0.9,0.54,2.2,1.18,1.1,0.62,0.07,1.26,2.7,1.13,14.8,15.92,79.6,78.02,88.8,79.3,6.4,10.7,5.7,83.0,83.9,84.7,36.0,36.8,12.0,11.9,12.3,27645,14.7,19.4,20.4,75.9,84.8,110911,71.5,9.8,170600,80361,83902.0,2.44,2.39,21523,23135.98,39785,42003.0,41567.0,3869,42107,20.8,9925.0,2837691.0,14489.0,262,1422615.0,13311.08,15.0,16.1,18.3,18.6,30.1,27.0,91440.0,87174.0,4266.0,4.67,92592.0,85485.0,7107.0,7.68,91554.0,81120.0,10434.0,11.4,82726.0,71999.0,10727.0,12.97,79594.0,69823.0,9771.0,12.28,77570.0,69021.0,8549.0,11.02,76838.0,68888.0,7950.0,10.35,78060.0,71264.0,6796.0,8.71,79210.0,72935.0,6275.0,7.92,80139.0,74844.0,5295.0,6.61,12.3,12.8,0.1,82407.0,77579.0,4828.0,5.86,82.5,29.6,2.8,4.4,1.1,2.84,12.9,1.1,16.4,80.1,75.3,71.2,86889,1.0,1.4,0.7,1.4,8.3,30.7,24.9,69.3,86.1,60395,51.6,45587,24105,30318,2.3,2.6,0.2,26166,2.35,207695,2.5,7.5,8.9,0.3,7.4,5.5,14.3,90.2,77.3,1,0,1,0,0,Arizona
105,Navajo County,97470.0,107449,107518.0,107268.0,107077.0,107613.0,107543.0,108322.0,108956.0,8.1,7.4,29.8,13.3,16.3,35.9,50.0,49.3,0.9,0.41,43.4,22.08,0.5,0.31,0.06,1.63,2.5,1.59,10.8,11.17,43.9,41.64,63.5,85.7,2.6,36.6,8.2,80.5,81.5,82.6,36.7,37.1,14.4,14.5,15.5,7964,9.6,21.8,21.6,59.5,73.4,56938,72.5,7.0,134300,35366,34251.0,2.97,3.07,16745,16942.02,39774,37440.0,38798.0,1844,18493,10.8,5073.0,1237467.0,11148.0,140,1177146.0,9950.42,10.8,24.4,28.2,29.1,44.1,38.5,38244.0,35783.0,2461.0,6.43,39302.0,35328.0,3974.0,10.11,41199.0,34893.0,6306.0,15.31,43903.0,37450.0,6453.0,14.7,43344.0,36914.0,6430.0,14.83,42957.0,36890.0,6067.0,14.12,41925.0,36283.0,5642.0,13.46,41527.0,36937.0,4590.0,11.05,40521.0,36613.0,3908.0,9.64,41136.0,37744.0,3392.0,8.25,15.1,10.6,0.6,41337.0,38206.0,3131.0,7.57,73.0,17.4,1.7,7.1,0.6,3.72,15.3,0.9,11.4,62.5,59.3,65.9,34990,0.9,5.8,32.4,1.3,7.9,31.2,21.6,68.8,83.4,54678,37.3,40067,21256,29874,44.7,3.7,0.1,18935,3.04,109270,2.9,12.4,13.2,1.3,10.9,10.6,9.1,47.1,41.3,0,0,1,0,0,Arizona
106,Pima County,843746.0,980263,987297.0,991528.0,994759.0,1000916.0,1005323.0,1012519.0,1022769.0,6.4,5.9,23.0,15.4,18.1,38.2,50.9,74.3,3.5,1.73,3.3,1.73,2.6,1.39,0.08,4.39,3.7,2.24,34.6,36.6,55.3,52.62,71.6,78.8,13.2,28.2,5.9,86.8,87.8,88.2,34.4,34.1,29.6,30.8,31.6,96814,10.9,23.9,24.5,80.6,89.5,440909,64.6,22.9,198300,381880,398530.0,2.46,2.45,25093,27560.82,45521,47644.0,48676.0,20547,309243,5.4,57228.0,11928538.0,11969.0,1938,13270204.0,9187.04,106.7,16.4,18.2,18.3,28.6,25.3,458486.0,441553.0,16933.0,3.69,474464.0,446795.0,27669.0,5.83,485850.0,441837.0,44013.0,9.06,478743.0,434106.0,44637.0,9.32,466908.0,427335.0,39573.0,8.48,462896.0,428796.0,34100.0,7.37,456994.0,426120.0,30874.0,6.76,461348.0,433561.0,27787.0,6.02,463229.0,437916.0,25313.0,5.46,467481.0,444339.0,23142.0,4.95,11.0,8.6,0.3,475622.0,454292.0,21330.0,4.48,78.9,19.2,2.2,5.7,2.9,3.1,32.4,3.6,37.2,85.4,78.9,81.3,404739,2.3,4.2,1.5,2.6,24.3,36.8,10.0,63.2,88.4,73554,38.5,53379,27279,34990,3.9,8.6,0.2,29707,2.46,1027207,4.9,6.2,9.2,0.5,7.1,4.9,10.6,76.0,51.7,1,0,1,0,0,Arizona
107,Pinal County,179727.0,375770,378226.0,381910.0,384258.0,394004.0,404069.0,415115.0,430237.0,8.0,6.1,26.5,13.9,18.6,38.5,47.5,72.4,4.6,2.25,5.6,2.51,1.7,0.86,0.18,2.19,3.8,1.79,28.5,29.61,58.7,57.44,79.5,77.7,10.5,23.3,5.6,83.7,84.9,85.2,37.2,36.8,17.9,18.5,18.6,32337,11.1,32.4,31.0,77.3,86.4,159222,77.7,6.3,164000,118826,133513.0,2.56,2.85,21716,22823.51,51310,52642.0,52628.0,3225,45025,79.2,14301.0,2033110.0,6718.0,1597,1799122.0,5365.61,70.0,13.5,15.4,15.5,25.1,21.4,111626.0,106534.0,5092.0,4.56,122313.0,113278.0,9035.0,7.39,126779.0,111192.0,15587.0,12.29,153707.0,137242.0,16465.0,10.71,149658.0,135043.0,14615.0,9.77,148689.0,135995.0,12694.0,8.54,148275.0,136324.0,11951.0,8.06,153156.0,142463.0,10693.0,6.98,156475.0,146677.0,9798.0,6.26,163194.0,154165.0,9029.0,5.53,10.3,8.5,0.7,168806.0,160333.0,8473.0,5.02,77.0,19.9,1.5,5.8,1.6,3.43,19.5,4.4,30.2,84.0,80.4,80.0,141300,1.5,2.3,1.6,1.9,17.8,23.3,16.6,76.7,85.8,71325,39.3,58174,28080,36872,5.0,4.5,0.3,24959,2.87,432793,4.2,6.4,8.8,0.7,7.5,7.5,10.5,79.9,56.8,1,0,1,0,0,Arizona
108,Santa Cruz County,38381.0,47420,47615.0,47292.0,46845.0,46468.0,46191.0,46075.0,46212.0,7.8,7.1,30.7,13.1,16.3,36.6,52.4,73.5,0.4,0.25,0.7,0.23,0.5,0.43,0.0,5.46,2.0,0.53,82.8,83.38,16.0,15.04,21.4,91.1,33.5,81.1,5.9,70.9,74.8,75.4,26.1,26.8,17.3,22.5,22.1,2019,5.1,19.0,23.5,68.2,79.8,18010,71.0,17.6,148200,12078,15568.0,3.79,2.95,16209,19324.75,36519,39090.0,39630.0,1153,10773,6.9,3234.0,681267.0,15958.0,53,445037.0,1236.92,38.3,25.2,20.9,21.8,36.5,29.3,17162.0,15893.0,1269.0,7.39,17888.0,15916.0,1972.0,11.02,18594.0,15655.0,2939.0,15.81,20881.0,17697.0,3184.0,15.25,20478.0,17311.0,3167.0,15.47,20121.0,17014.0,3107.0,15.44,20111.0,17023.0,3088.0,15.35,20217.0,17608.0,2609.0,12.9,19783.0,17520.0,2263.0,11.44,19101.0,17187.0,1914.0,10.02,12.6,6.9,4.8,19001.0,17194.0,1807.0,9.51,72.7,17.3,2.0,7.1,0.9,3.39,20.4,0.6,83.5,73.7,65.7,73.1,15853,0.3,18.0,0.0,1.0,77.1,32.3,4.8,67.7,76.6,61551,36.7,41259,22538,28631,0.8,10.6,0.0,21480,2.91,46480,1.3,7.2,10.2,2.7,4.3,3.8,5.1,85.7,14.9,0,0,1,0,0,Arizona
109,Yavapai County,167517.0,211033,210883.0,211809.0,214198.0,217509.0,220621.0,224363.0,228168.0,5.0,4.3,19.1,24.1,28.9,52.2,51.0,89.3,0.6,0.26,1.7,0.85,0.8,0.48,0.02,1.28,2.5,1.12,13.6,14.26,82.0,80.9,89.2,81.8,7.2,11.2,4.4,89.4,90.1,90.2,38.8,39.3,23.7,25.5,25.0,29228,14.3,21.7,23.2,78.2,88.4,110432,72.5,11.0,231000,89109,94343.0,2.3,2.29,25527,27384.28,43290,49824.0,48259.0,5875,53702,16.6,16666.0,2695406.0,12714.0,339,1615727.0,8123.5,26.0,13.7,13.3,14.7,23.5,19.6,97606.0,93996.0,3610.0,3.7,98076.0,92011.0,6065.0,6.18,98309.0,88034.0,10275.0,10.45,96533.0,86224.0,10309.0,10.68,93132.0,83953.0,9179.0,9.86,92384.0,84442.0,7942.0,8.6,91587.0,84500.0,7087.0,7.74,93950.0,87992.0,5958.0,6.34,95782.0,90422.0,5360.0,5.6,99073.0,94201.0,4872.0,4.92,11.3,11.0,0.2,101763.0,97180.0,4583.0,4.5,83.5,30.6,3.2,4.2,1.0,2.77,25.9,0.7,14.5,82.2,81.4,74.2,98386,0.9,1.3,0.4,2.3,8.4,28.0,18.5,72.0,91.0,68419,53.4,52451,26689,31207,1.7,2.7,0.1,30341,2.26,228067,2.6,5.3,9.8,0.1,9.1,9.6,13.8,91.3,80.5,1,0,0,0,1,Arizona
110,Yuma County,160026.0,195751,202581.0,202105.0,201810.0,203039.0,203558.0,205463.0,207534.0,7.7,7.4,28.2,15.7,17.6,34.1,49.9,70.4,2.0,1.04,1.6,0.64,1.2,0.65,0.03,9.82,3.8,1.26,59.7,62.89,35.3,31.82,46.2,81.7,25.6,50.2,7.5,71.6,71.80000000000003,71.6,31.8,31.4,13.3,14.4,14.3,17246,10.1,19.1,19.6,73.1,81.0,87850,69.6,12.5,142400,69563,71670.0,2.65,2.77,18418,20730.32,40340,42998.0,43253.0,3029,42617,36.4,7558.0,2004643.0,10596.0,455,1651299.0,5513.99,35.5,20.9,19.3,19.7,26.8,27.9,78841.0,67756.0,11085.0,14.06,84314.0,68812.0,15502.0,18.39,87808.0,67617.0,20191.0,22.99,92816.0,69500.0,23316.0,25.12,91935.0,69677.0,22258.0,24.21,93806.0,71429.0,22377.0,23.85,94729.0,70567.0,24162.0,25.51,93020.0,71756.0,21264.0,22.86,93222.0,73038.0,20184.0,21.65,93621.0,76016.0,17605.0,18.8,15.1,13.2,1.0,95167.0,78942.0,16225.0,17.05,74.6,18.5,1.9,7.2,1.3,3.26,15.0,2.2,63.8,78.3,67.5,75.1,73098,0.9,10.0,0.5,1.1,48.8,32.9,24.2,67.1,73.3,59526,34.6,45243,24291,30610,1.5,15.8,0.1,21758,2.79,209468,2.7,9.5,12.7,1.2,10.2,6.4,10.1,76.3,31.0,1,0,0,0,1,Arizona
111,Arkansas County,20749.0,19019,18869.0,18957.0,18746.0,18484.0,18350.0,18215.0,17967.0,6.0,6.5,23.3,16.4,18.1,40.9,51.5,71.8,24.5,13.22,0.2,0.01,0.5,0.01,0.0,0.13,1.3,0.53,2.7,2.96,71.0,70.15,97.8,81.0,1.6,3.0,5.9,79.4,82.5,82.6,27.5,29.6,14.3,14.4,14.1,1599,7.9,14.7,14.6,60.1,79.2,9436,64.4,10.9,78900,8202,7692.0,2.28,2.35,22142,23320.0,37230,39726.0,38532.0,544,8293,0.2,1204.0,286337.0,14825.0,17,240068.0,988.77,19.2,18.9,18.1,20.7,39.0,27.9,11988.0,10942.0,1046.0,8.73,12161.0,10969.0,1192.0,9.8,12305.0,10377.0,1928.0,15.67,11332.0,9224.0,2108.0,18.6,10589.0,9297.0,1292.0,12.2,9913.0,9044.0,869.0,8.77,9589.0,8884.0,705.0,7.35,9466.0,8958.0,508.0,5.37,9487.0,9092.0,395.0,4.16,9284.0,8970.0,314.0,3.38,8.4,0.9,0.0,9013.0,8719.0,294.0,3.26,77.1,19.0,2.3,6.4,0.0,2.94,15.8,25.9,3.2,67.7,54.4,73.3,7491,0.1,0.5,0.1,0.4,1.5,34.8,13.1,65.2,83.9,61946,40.7,46696,25843,33810,0.2,0.5,0.0,26386,2.36,17914,1.3,4.1,6.8,0.0,2.7,2.6,7.4,72.1,69.8,0,0,0,1,0,Arkansas
